myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
CallowhillWeekday101,Callowhill,2-23-2026,Weekday,,,,101,2023-10-11 12:29 AM,,2023-10-11 11:03 AM,10:24,11.6,,21-42,9101,O,12:43 AM,I,11:00 AM,10:17,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:17,--> O: 12:43 AM > I: 11:00 AM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday102,Callowhill,2-23-2026,Weekday,,,,102,2023-10-11 01:13 AM,,2023-10-11 10:45 AM,9:22,10.1,,21-42,9102,O,01:27 AM,I,10:42 AM,9:15,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:15,--> O: 01:27 AM > I: 10:42 AM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday103,Callowhill,2-23-2026,Weekday,,,,103,2023-10-11 03:50 AM,,2023-10-11 2:56 PM,10:56,12.4,,21-42,9103,O,04:04 AM,I,02:53 PM,10:49,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:49,--> O: 04:04 AM > I: 02:53 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday104,Callowhill,2-23-2026,Weekday,,,,104,2023-10-11 04:14 AM,,2023-10-11 2:46 PM,10:22,11.6,,21-42,9104,O,04:28 AM,I,02:43 PM,10:15,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 10:15,--> O: 04:28 AM > I: 02:43 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday105,Callowhill,2-23-2026,Weekday,,,,105,2023-10-11 04:53 AM,,2023-10-11 1:17 PM,8:14,8.4,,21-42,9105,O,05:07 AM,I,01:14 PM,8:07,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:07,--> O: 05:07 AM > I: 01:14 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday106,Callowhill,2-23-2026,Weekday,,,,106,2023-10-11 04:54 AM,,2023-10-11 2:33 PM,9:29,10.2,,21-42,9106,O,05:08 AM,I,02:30 PM,9:22,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:22,--> O: 05:08 AM > I: 02:30 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday107,Callowhill,2-23-2026,Weekday,,,,107,2023-10-11 05:15 AM,,2023-10-11 1:53 PM,8:28,8.7,,21-42,9107,O,05:29 AM,I,01:50 PM,8:21,501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:21,--> O: 05:29 AM > I: 01:50 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday108,Callowhill,2-23-2026,Weekday,,,,108,2023-10-11 05:35 AM,,2023-10-11 2:14 PM,8:29,8.7,,21-42,9108,O,05:49 AM,I,02:11 PM,8:22,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:22,--> O: 05:49 AM > I: 02:11 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday109,Callowhill,2-23-2026,Weekday,,,,109,2023-10-11 05:37 AM,,2023-10-11 2:35 PM,8:48,9.2,,21-42,9109,O,05:51 AM,I,02:32 PM,8:41,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 8:41,--> O: 05:51 AM > I: 02:32 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday110,Callowhill,2-23-2026,Weekday,,,,110,2023-10-11 05:37 AM,,2023-10-11 3:18 PM,9:31,10.3,,21-42,9110,O,05:51 AM,I,03:15 PM,9:24,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:24,--> O: 05:51 AM > I: 03:15 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday111,Callowhill,2-23-2026,Weekday,,,,111,2023-10-11 05:54 AM,,2023-10-11 3:42 PM,9:38,10.5,,21-42,9112,O,06:08 AM,I,03:39 PM,9:31,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 21-42 SCHD: 9:31,--> O: 06:08 AM > I: 03:39 PM,,,,,,,,,,,,,,,,,,,
CallowhillWeekday112,Callowhill,2-23-2026,Weekday,,,,112,2023-10-11 06:18 AM,,2023-10-11 5:14 PM,10:46,12.2,,WCS,9116,O,06:32 AM,CG,07:52 AM,1:20,80,,21-42,9116,CG,07:52 AM,I,05:11 PM,9:19,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: WCS SCHD: 1:20,--> O: 06:32 AM > CG: 07:52 AM,RTE: 21-42 SCHD: 9:19,--> CG: 07:52 AM > I: 05:11 PM,,,,,,,,,,,,,,,,,
