myid,runno,depot,page_1,page,day,moblink,pclink,Trip Sheet
CallowhillWeekday51,51,Callowhill,1 of 2,1,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=1,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=1.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday52,52,Callowhill,1 of 2,3,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=3,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=3.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday53,53,Callowhill,1 of 2,5,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=5,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=5.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday54,54,Callowhill,1 of 2,7,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=7,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=7.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday101,101,Callowhill,1 of 2,9,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=9,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=9.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday102,102,Callowhill,1 of 2,11,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=11,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=11.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday103,103,Callowhill,1 of 2,13,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=13,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=13.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday104,104,Callowhill,1 of 2,15,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=15,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=15.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday105,105,Callowhill,1 of 2,17,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=17,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=17.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
CallowhillWeekday106,106,Callowhill,1 of 2,19,Weekday,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles.pdf#page=19,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/paddles/weekday-paddles#page=19.pdf,https://www4.septa.org/picking/pdf/fall-a-2026/callowhill/bus/trip-sheets/weekday-trip-sheets.pdf
